2021-03-28 22:44:35,447 INFO: Binance Trader v0.0.2
2021-03-28 22:44:36,016 INFO: XRP balance: 0.0
2021-03-28 22:44:36,016 INFO: USDT balance: 10000.0
2021-03-28 22:44:36,018 INFO: XRP balance: 0.0
2021-03-28 22:44:36,018 INFO: USDT balance: 10000.0
2021-03-28 22:44:36,020 INFO: XRP balance: 0.0
2021-03-28 22:44:36,020 INFO: USDT balance: 10000.0
2021-03-28 22:45:33,966 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) upperzone 0.9465
2021-03-28 22:45:33,968 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) middlezone 0.9469
2021-03-28 22:45:33,970 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) bottomzone 0.9465
2021-03-28 22:45:34,747 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54422 IFTSTOCH: 0.9388549321636731
2021-03-28 22:45:34,885 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54422 IFTSTOCH: 0.9388549321636731
2021-03-28 22:45:35,314 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54422 IFTSTOCH: 0.9388549321636731
2021-03-28 22:45:36,094 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54423 IFTSTOCH: 0.9408492514194121
2021-03-28 22:45:36,419 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54423 IFTSTOCH: 0.9408492514194121
2021-03-28 22:45:36,421 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) middlezone 0.9468
2021-03-28 22:45:36,422 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) bottomzone 0.9457
2021-03-28 22:45:36,633 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54423 IFTSTOCH: 0.9408492514194121
2021-03-28 22:45:37,447 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54423 IFTSTOCH: 0.9408492514194121
2021-03-28 22:45:37,899 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54423 IFTSTOCH: 0.9408492514194121
2021-03-28 22:45:37,984 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54423 IFTSTOCH: 0.9408492514194121
2021-03-28 22:45:38,796 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54423 IFTSTOCH: 0.9408492514194121
2021-03-28 22:45:39,269 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54423 IFTSTOCH: 0.9408492514194121
2021-03-28 22:45:39,335 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54423 IFTSTOCH: 0.9408492514194121
2021-03-28 22:45:40,112 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54423 IFTSTOCH: 0.9408492514194121
2021-03-28 22:45:40,614 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54423 IFTSTOCH: 0.9408492514194121
2021-03-28 22:45:40,619 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) upperzone 0.9419
2021-03-28 22:45:40,621 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) bottomzone 0.9408
2021-03-28 22:45:40,683 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54423 IFTSTOCH: 0.9408492514194121
2021-03-28 22:45:40,686 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) upperzone 0.9419
2021-03-28 22:45:40,687 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) bottomzone 0.9419
2021-03-28 22:45:41,455 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54423 IFTSTOCH: 0.9408492514194121
2021-03-28 22:45:42,005 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54427 IFTSTOCH: 0.9482137635906812
2021-03-28 22:45:42,043 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54427 IFTSTOCH: 0.9482137635906812
2021-03-28 22:45:42,790 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54422 IFTSTOCH: 0.9388549321636731
2021-03-28 22:45:43,330 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54422 IFTSTOCH: 0.9388549321636731
2021-03-28 22:45:43,384 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54422 IFTSTOCH: 0.9388549321636731
2021-03-28 22:45:44,137 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54423 IFTSTOCH: 0.9408492514194121
2021-03-28 22:45:44,721 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54423 IFTSTOCH: 0.9408492514194121
2021-03-28 22:45:44,724 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) bottomzone 0.9426
2021-03-28 22:45:44,739 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54423 IFTSTOCH: 0.9408492514194121
2021-03-28 22:45:44,741 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) middlezone 0.9422
2021-03-28 22:45:45,465 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54423 IFTSTOCH: 0.9408492514194121
2021-03-28 22:45:46,133 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54423 IFTSTOCH: 0.9408492514194121
2021-03-28 22:45:46,744 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54423 IFTSTOCH: 0.9408492514194121
2021-03-28 22:45:46,748 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) middlezone 0.9416
2021-03-28 22:45:46,814 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54423 IFTSTOCH: 0.9408492514194121
2021-03-28 22:45:47,454 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54423 IFTSTOCH: 0.9408492514194121
2021-03-28 22:45:47,456 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) upperzone 0.9419
2021-03-28 22:45:47,456 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) bottomzone 0.9419
2021-03-28 22:45:48,094 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) XRP: 0.54416 IFTSTOCH: 0.925452187913685
2021-03-28 22:45:48,098 INFO: IFTSTOCH([3, 5][5, 7][5, 3]) upperzone 0.9419
2021-03-28 22:45:48,170 INFO: IFTSTOCH([3, 5][5, 10][5, 7]) XRP: 0.54416 IFTSTOCH: 0.925452187913685
2021-03-28 22:45:48,836 INFO: IFTSTOCH([3, 5][5, 8][5, 5]) XRP: 0.54416 IFTSTOCH: 0.925452187913685
